"x";"y"
0.0509;2.9948
0.0608;2.8059
0.0707;2.6565
0.0807;2.5252
0.0906;2.4069
0.1006;2.3044
0.1105;2.2164
0.1204;2.1417
0.1304;2.0814
0.1403;2.0299
0.1502;1.9832
0.1602;1.9434
0.1701;1.9094
0.1801;1.8777
0.19;1.8486
0.1999;1.8222
0.2099;1.7983
0.2198;1.7766
0.2297;1.7561
0.2397;1.7359
0.2496;1.7158
0.2596;1.6965
0.2695;1.6781
0.2794;1.6601
0.2894;1.6417
0.2993;1.6218
