"x";"y"
7444.21724;55.0672
9079.42688;52.3371
11073.82949;49.7335
13506.32603;47.2566
16473.14897;44.9064
20091.66936;42.683
24505.04021;40.5826
29887.85972;38.5906
36453.07868;36.6909
44460.425;34.8726
54226.67885;33.148
66138.20492;31.5359
80666.2374;30.0386
98385.52263;28.6302
119997.05671;27.2816
146355.81773;25.9662
178504.58979;24.6804
217715.21673;23.4355
265538.9178;22.2425
323867.65576;21.1087
395008.98519;20.0341
481777.34209;19.0182
587605.38635;18.0603
716679.80184;17.1579
874106.9267;16.3026
1066114.76608;15.4856
1300299.37956;14.6977
1585925.39029;13.9395
1934292.50457;13.2406
2359182.5417;12.6333
2877404.65928;12.0966
3509460.34354;11.5599
4280354.47261;10.9797
5220584.53942;10.4059
6367347.16894;9.8998
7766009.66113;9.4529
9471904.77549;9.0185
11552519.76121;8.5763
14090166.23335;8.1492
17185236.51871;7.7641
20960175.29623;7.4481
