"x";"y"
0.0637;2.9941
0.0732;2.8426
0.0826;2.7165
0.0921;2.6029
0.1015;2.5028
0.1109;2.4149
0.1204;2.3345
0.1298;2.2591
0.1393;2.1934
0.1487;2.1389
0.1582;2.0893
0.1676;2.0471
0.177;2.0099
0.1865;1.978
0.1959;1.9482
0.2054;1.9201
0.2148;1.8951
0.2242;1.8728
0.2337;1.8523
0.2431;1.8324
0.2526;1.813
0.262;1.7949
0.2714;1.7772
0.2809;1.7576
0.2903;1.7367
0.2998;1.7176
